,1년간여행여부,1년간여가/문화활동,1년간교육학습,친목단체참여여부,자원봉사경험유무,종교종류,가장중요한활동,현재경제활동여부,향후근로희망여부,노인일자리참여여부,노인일자리참여의향,향후참여하고싶은유형
0,2,1,1,2,2,1,7,1,2,1,1,1
1,1,1,1,2,2,2,4,1,2,1,1,1
2,1,1,2,2,2,3,7,1,3,4,1,1
4,1,1,2,2,2,3,3,1,3,1,1,3
5,1,1,2,2,2,3,3,2,3,2,1,1
6,2,1,1,2,1,2,4,1,2,1,1,5
8,2,1,2,2,2,3,7,2,4,4,1,3
9,2,1,2,2,2,1,7,1,2,4,1,1
10,1,1,2,2,2,3,7,1,3,4,1,3
15,2,1,1,2,2,1,2,2,1,4,1,1
16,2,1,1,2,2,2,4,2,4,2,1,1
18,2,1,2,2,2,4,3,2,1,2,1,4
19,1,1,2,2,2,2,4,2,4,4,1,1
20,2,1,2,2,2,3,3,2,3,4,1,5
25,2,1,2,2,2,3,6,1,2,1,1,1
27,2,1,2,2,1,3,7,1,2,1,1,4
30,2,1,2,2,2,1,7,1,2,1,1,1
31,1,1,1,2,2,1,7,2,4,4,1,1
32,1,1,2,2,2,1,7,2,4,3,1,1
33,2,1,2,2,2,2,6,1,2,1,1,1
34,1,1,2,2,2,2,7,2,4,4,1,4
35,2,1,2,2,2,2,7,1,2,1,1,1
37,2,1,2,2,2,3,7,2,4,4,1,1
39,2,1,2,2,2,3,3,2,3,4,1,1
40,2,1,2,2,2,2,7,2,4,2,1,1
45,2,1,2,2,2,2,3,1,3,1,1,1
55,2,1,2,2,2,3,7,2,4,4,1,1
76,2,1,2,2,2,3,2,1,2,1,1,1
80,2,1,2,2,2,2,4,1,3,1,1,1
82,2,1,2,2,2,1,3,2,1,4,1,1
94,2,1,2,2,2,2,3,3,1,4,1,4
106,2,1,2,2,2,2,3,1,2,4,1,1
112,2,2,2,2,2,1,7,2,1,4,1,5
116,2,1,1,2,2,2,3,1,2,1,1,1
123,2,1,2,2,2,4,7,2,4,4,1,1
125,2,1,2,2,2,2,8,2,4,4,1,1
128,2,1,2,2,2,2,8,2,1,4,1,1
130,2,1,2,2,2,2,6,2,4,4,1,1
138,2,1,2,2,2,2,3,2,4,4,1,1
141,1,1,2,2,2,2,7,1,2,1,1,1
149,2,1,2,2,2,3,7,3,1,3,1,1
152,2,1,2,2,1,3,1,2,4,1,1,1
155,2,1,2,2,2,3,3,2,1,1,1,5
160,2,1,2,2,1,2,1,1,2,1,1,1
162,2,1,2,2,2,2,7,3,1,4,1,4
165,1,1,2,2,2,3,3,1,2,1,1,1
167,1,1,2,2,1,3,4,2,4,4,1,4
174,1,1,2,1,2,1,4,2,4,4,1,1
