Gender,Age,Religion,Job,Married,Edu,Health,Self_conf,Earn,Activity,target,Cluster
0,73,3,1.0,3,0,1,1,0,0,1,1
0,79,2,2.0,1,1,2,1,0,3,5,3
1,77,3,1.0,1,0,2,1,2,0,3,0
0,72,1,2.0,3,0,2,1,0,0,1,3
0,72,2,1.0,3,1,1,1,0,0,1,0
0,69,2,1.0,4,0,2,2,0,0,1,3
1,72,3,1.0,1,1,0,1,0,0,5,5
0,75,3,2.0,3,0,1,2,2,1,1,4
0,69,3,2.0,3,2,2,2,2,0,4,2
1,77,1,1.0,1,2,0,1,1,0,1,0
0,71,2,2.0,1,0,1,1,1,0,1,1
1,72,2,2.0,1,1,2,1,1,0,1,0
0,82,2,1.0,3,0,2,1,0,1,1,3
1,76,3,1.0,1,2,1,1,0,0,1,1
0,74,3,2.0,3,0,2,1,1,0,1,3
0,76,2,2.0,3,0,0,0,0,0,1,1
0,71,1,1.0,1,1,2,2,2,0,1,0
0,76,2,0.0,3,1,0,1,0,0,4,5
0,77,2,2.0,3,0,1,1,2,0,1,4
0,81,2,2.0,3,0,2,2,0,2,1,3
1,79,2,1.0,3,2,1,1,0,0,1,1
1,73,2,1.0,1,0,2,1,0,0,1,3
0,78,2,1.0,3,2,2,2,1,2,1,0
1,69,3,1.0,1,1,2,1,2,0,1,0
0,80,3,1.0,3,1,1,1,0,2,5,0
1,74,2,2.0,1,0,1,1,1,0,1,1
0,72,2,0.0,1,0,2,1,1,0,4,0
0,76,3,2.0,3,0,1,2,0,1,1,1
1,69,1,1.0,1,3,0,1,2,0,1,5
0,74,3,2.0,3,0,1,1,2,2,1,4
0,78,3,1.0,3,0,1,1,1,1,1,0
1,78,2,2.0,1,1,2,1,0,0,1,3
0,77,2,4.0,1,1,2,1,1,0,1,0
0,83,3,2.0,3,0,2,1,0,0,1,3
0,76,1,1.0,3,0,1,1,0,0,1,1
0,81,3,2.0,3,1,2,2,2,1,1,2
0,78,3,2.0,3,0,2,1,1,0,1,3
1,85,1,2.0,1,1,1,1,0,0,4,1
0,82,2,2.0,3,0,1,1,2,0,1,4
0,79,1,4.0,3,0,1,1,0,1,1,1
1,89,2,1.0,3,0,2,1,0,0,4,3
1,70,2,1.0,1,2,2,1,1,0,1,0
1,80,2,2.0,1,0,2,1,2,0,1,2
0,73,2,1.0,3,0,0,1,2,0,1,5
1,77,1,2.0,1,1,1,1,2,1,1,4
0,71,2,0.0,3,0,0,1,2,0,1,4
0,72,1,2.0,1,0,1,1,2,1,1,4
0,70,2,1.0,1,1,2,1,2,0,1,0
1,70,2,2.0,1,1,1,1,1,1,1,0
0,85,1,1.0,3,0,0,1,0,1,1,5
0,69,1,0.0,3,0,0,1,1,0,1,5
1,76,1,2.0,1,0,2,1,0,0,1,3
0,70,1,2.0,3,0,2,2,0,0,1,3
0,73,3,4.0,5,2,2,2,1,0,1,0
1,81,3,1.0,1,0,2,1,1,0,5,0
0,74,3,1.0,3,0,0,1,0,0,2,5
1,78,2,1.0,1,0,1,1,0,1,1,1
1,72,2,1.0,1,1,2,1,1,0,1,0
0,74,3,2.0,3,0,2,0,0,0,1,3
1,73,2,1.0,1,0,2,2,0,1,1,3
0,70,1,0.0,1,0,2,1,0,1,3,3
1,73,1,2.0,1,2,2,1,2,0,5,2
0,75,1,1.0,3,0,1,2,0,1,1,1
0,71,1,2.0,1,1,2,1,2,1,1,2
0,72,3,1.0,3,0,1,1,2,0,5,4
0,82,2,2.0,3,0,2,1,0,2,1,3
1,75,2,2.0,1,1,1,0,0,1,5,1
0,85,2,1.0,3,0,0,0,1,1,1,5
1,84,2,1.0,1,0,0,1,0,0,1,5
0,72,1,2.0,1,0,0,0,0,1,5,1
0,80,1,1.0,3,0,0,1,1,0,5,5
0,83,2,1.0,4,0,2,2,0,0,1,3
0,74,2,3.0,3,0,2,1,1,1,3,0
1,69,3,3.0,1,2,2,1,2,0,2,2
