시/도,시/군/구,기관명,주소,사회서비스형,시장형,취업알선형,시니어인턴십,공익활동
서울,성동구,(사)고령사회고용진흥원,"우편번호:  (072-99)
주소:  서울특별시 영등포구 문래동3가 55-20 에이스하이테크시티
도로명주소:  서울특별시 영등포구 경인로 775 (문래동3가)",0,0,1,1,0
서울,양천구,(사)나눔과보람복지회,"우편번호:  (079-38)
주소:  서울특별시 양천구 신정동 883 양천시장주상복합
도로명주소:  서울특별시 양천구 목동로23길 34 (신정동, 양천시장주상복합)",,,,,
서울,강남구,(사)대한노인회 강남구지회,"우편번호:  (060-65)
주소: 
도로명주소:  서울특별시 강남구 선릉로 706 (청담동)",,,,,
서울,관악구,(사)하늘터노인복지회,"우편번호:  (088-46)
주소: 
도로명주소:  서울특별시 관악구 방천길 39 (신림동)",,,,,
서울,영등포구,(사)한국가사노동자협회,"우편번호:  (072-65)
주소:  서울특별시 영등포구 당산동1가 318
도로명주소:  서울특별시 영등포구 당산로20길 4(당산동1가)",1,0,0,0,1
서울,광진구,(사)한국안정교육협회 서울분소,"우편번호:  (049-45)
주소: 
도로명주소:  서울특별시 광진구 영화사로 15 (중곡동)",,,,,
서울,서초구,(사)한국진로직업개발원,"우편번호:  (067-85)
주소: 
도로명주소:  서울특별시 서초구 강남대로10길 65 (양재동)",,,,,
서울,영등포구,(사)한국취업컨설턴트협회,"우편번호:  (150-886)
주소:  서울시 영등포구 국제금융로 8길 34
도로명주소:  서울시 영등포구 국제금융로 8길 34",,,,,
서울,영등포구,(주)리부트코리아,"우편번호:  (073-66)
주소: 
도로명주소:  서울특별시 영등포구 영신로19길 28(영등포동)",,,,,
서울,중구,(주)메이크인,"우편번호:  (100-893)
주소:  서울 중구 신당동 370-24
도로명주소:  서울특별시 중구신당동 다산로 태양빌딩",0,0,1,1,0
서울,강남구,(주)유니에스,"우편번호:  (061-62)
주소: 
도로명주소:  서울특별시 강남구 선릉로 514(삼성동)",1,0,0,0,0
서울,양천구,(주)잡모아,"우편번호:  (080-20)
주소: 
도로명주소:  서울특별시 양천구 오목로 180 (신정동)",0,0,0,1,0
서울,강남구,(주)티이에스,"우편번호:  (135-915)
주소:  서울 강남구역삼1동
도로명주소:  서울특별시 강남구역삼동 테헤란로37길",0,0,0,1,0
서울,강서구,가양7종합사회복지관,"우편번호:  (075-31)
주소:  서울특별시 강서구 가양동 1486 가양7단지아파트
도로명주소:  서울특별시 강서구 허준로 209 (가양동, 가양7단지아파트)",,,,,
서울,용산구,갈월종합사회복지관,"우편번호:  (043-35)
주소:  서울특별시 용산구 갈월동 51-19 남영동 주민센터
도로명주소:  서울특별시 용산구 두텁바위로 25 (갈월동)",,,,,
서울,은평구,갈현노인복지관,"우편번호:  (122-050)
주소:  서울 은평구 갈현동
도로명주소:  서울시 은평구 통일로89길 12-6 갈현노인복지관",1,0,0,0,0
서울,관악구,강감찬관악종합사회복지관,"우편번호:  (087-24)
주소:  서울특별시 관악구 봉천동 1699-6 선의관악종합사회복지관
도로명주소:  서울특별시 관악구 양녕로16길 44-9 (봉천동)",,,,,
서울,강남구,강남구노인통합지원센터,"우편번호:  (135-907)
주소:  서울 강남구역삼1동
도로명주소:  봉은사로24길 70",,,,,
서울,강남구,강남구립논현노인종합복지관,"우편번호:  (061-11)
주소:  서울특별시 강남구 논현동 125-13 논현노인종합복지관
도로명주소:  서울특별시 강남구 강남대로128길 59 (논현동)",0,0,0,0,1
서울,강남구,강남노인종합복지관,"우편번호:  (060-85)
주소:  서울특별시 강남구 삼성동 66 강남구청 삼성로 별관
도로명주소:  서울특별시 강남구 삼성로 628 (삼성동)",0,0,1,0,0
서울,강남구,강남시니어클럽,"우편번호:  (135-820)
주소:  서울 강남구 논현2동
도로명주소:  서울시 강남구 학동로43길 17",1,1,1,1,1
서울,강남구,강남시니어플라자,"우편번호:  (061-43)
주소:  서울특별시 강남구 역삼동 682-8 강남시니어플라자
도로명주소:  서울특별시 강남구 봉은사로 332 (역삼동)",,,,,
서울,강남구,강남종합사회복지관,"우편번호:  (135-939)
주소:  서울 강남구 개포로 109길 5(개포동12)
도로명주소: ",1,0,0,0,1
서울,강동구,강동구립 해공노인복지관,"우편번호:  (053-21)
주소:  서울특별시 강동구 천호동 302-4 천호2동자치회관
도로명주소:  서울특별시 강동구 천중로17길 42-16 (천호동)",,,,,
서울,강동구,강동구청 어르신복지과,"우편번호:  (053-97)
주소:  서울특별시 강동구 성내동 540 강동구청
도로명주소:  서울특별시 강동구 성내로 25(성내동)",,,,,
서울,강동구,강동노인종합복지관,"우편번호:  (052-69)
주소:  서울특별시 강동구 명일동 48-10 강동노인종합복지관
도로명주소:  서울특별시 강동구 동남로71길 32-5 (명일동)",1,0,1,0,0
서울,강동구,강동시니어클럽,"우편번호:  (053-03)
주소:  서울특별시 강동구 길동 345-9
도로명주소:  서울특별시 강동구 천중로 213 (길동)",1,1,0,0,1
서울,강북구,강북구청 생활복지국 어르신복지과,"우편번호:  (010-71)
주소:  서울특별시 강북구 수유동 192-59 강북구청
도로명주소:  서울특별시 강북구 도봉로89길 13 (수유동)",,,,,
서울,강북구,강북노인종합복지관,"우편번호:  (142-870)
주소:  서울특별시 강북구수유동
도로명주소:  서울특별시 강북구수유동 삼양로92길",0,0,1,0,1
서울,강서구,강서구립 곰달래어르신복지센터,"우편번호:  (157-908)
주소:  서울시 강서구 화곡8동 890
도로명주소:  서울시 강서구 강서로5길 50",,,,,
서울,강서구,강서구립 봉제산노인복지센터,"우편번호:  (157-010)
주소:  서울 강서구 화곡동
도로명주소: ",,,,,
서울,강서구,강서구립 연지노인복지센터,"우편번호:  (076-57)
주소:  서울특별시 강서구 화곡동 1121-19
도로명주소:  서울특별시 강서구 화곡로58길 30-7(화곡동)",0,0,0,0,1
서울,강서구,강서구청 어르신복지과,"우편번호:  (076-58)
주소:  서울특별시 강서구 화곡동 980-16 강서구청
도로명주소:  서울특별시 강서구 화곡로 302 (화곡동)",,,,,
서울,강서구,강서노인종합복지관,"우편번호:  (157-930)
주소:  서울특별시 강서구등촌3동
도로명주소:  서울특별시 강서구등촌동 화곡로61길",0,0,1,1,0
서울,노원구,공릉종합사회복지관,"우편번호:  (018-51)
주소:  서울특별시 노원구 공릉동 708 공릉1단지아파트
도로명주소:  서울특별시 노원구 동일로 1127 (공릉동, 공릉1단지아파트)",0,0,0,0,1
서울,관악구,관악구청 문화관광체육과,"우편번호:  (088-32)
주소:  서울특별시 관악구 봉천동 1570-1 관악구청
도로명주소:  서울특별시 관악구 관악로 145 (봉천동)",,,,,
서울,관악구,관악구청 복지가족국 노인청소년과,"우편번호:  (088-32)
주소:  서울특별시 관악구 봉천동 1570-1 관악구청
도로명주소:  서울특별시 관악구 관악로 145 (봉천동)",,,,,
서울,관악구,관악노인종합복지관,"우편번호:  (151-830)
주소:  서울 관악구 봉천1동 726-3
도로명주소:  서울특별시 관악구 보라매로 35",1,0,0,0,1
서울,관악구,관악시니어클럽,"우편번호:  (088-01)
주소:  서울특별시 관악구 봉천동 148-145 원당경로당
도로명주소:  서울특별시 관악구 남부순환로247다길 60 (봉천동)",1,1,1,0,1
서울,광진구,광진구청복지국 어르신복지과,"우편번호:  (143-702)
주소:  서울 광진구 자양1동 광진구청
도로명주소:  서울시 광진구 자양로 117",,,,,
서울,광진구,광진노인종합복지관,"우편번호:  (143-840)
주소:  서울 광진구 군자동364-15
도로명주소:  군자로 88",0,1,1,1,1
서울,광진구,광진시니어클럽,"우편번호:  (050-66)
주소: 
도로명주소:  서울특별시 광진구 자양번영로7길 16-9 (자양동)",1,1,0,0,1
서울,구로구,구로구청 생활복지국 어르신청소년과,"우편번호:  (082-84)
주소:  서울특별시 구로구 구로동 435 구로구청
도로명주소:  서울특별시 구로구 가마산로 245 (구로동)",,,,,
서울,구로구,구로노인종합복지관,"우편번호:  (082-89)
주소:  서울특별시 구로구 구로동 25-1 시립구로노인종합복지관
도로명주소:  서울특별시 구로구 새말로16길 7 (구로동)",1,1,1,1,0
서울,구로구,구로시니어클럽,"우편번호:  (082-72)
주소: 
도로명주소:  서울특별시 구로구 경인로20가길 38 (오류동)",1,1,1,0,1
서울,구로구,구로어르신돌봄통합센터,"우편번호:  (083-72)
주소:  서울특별시 구로구 구로동 777-1 구로 꿈마을도서관
도로명주소:  서울특별시 구로구 디지털로27다길 65 (구로동)",,,,,
서울,구로구,구로종합사회복지관,"우편번호:  (152-050)
주소:  서울특별시 구로구 디지털로31길 (구로동)
도로명주소: ",,,,,
서울,중랑구,구립신내노인종합복지관,"우편번호:  (020-41)
주소:  서울특별시 중랑구 신내동 771-1 신내노인종합복지관
도로명주소:  서울특별시 중랑구 신내로15길 175 (신내동)",,,,,
서울,은평구,구립신사노인복지관,"우편번호:  (034-47)
주소:  서울특별시 은평구 신사동 163-17 신사2동 복합청사
도로명주소:  서울특별시 은평구 증산로15길 47 (신사동)",0,0,0,0,1
서울,영등포구,구립영등포노인복지센터,"우편번호:  (150-862)
주소:  서울 영등포구양평동3가
도로명주소:  서울 영등포구 선유서로 34길 10",,,,,
서울,강북구,구세군강북종합사회복지관,"우편번호:  (142-824)
주소:  서울 강북구삼양동
도로명주소:  서울 강북구 인수봉로",,,,,
서울,구로구,궁동종합복지관,"우편번호:  (082-49)
주소:  서울특별시 구로구 궁동 108-9 궁동종합사회복지관
도로명주소:  서울특별시 구로구 오리로22길 5 (궁동)",,,,,
서울,금천구,금천노인종합복지관,"우편번호:  (086-34)
주소:  서울특별시 금천구 시흥동 558-1 금천노인종합복지관
도로명주소:  서울특별시 금천구 시흥대로51길 93-32 (시흥동)",0,0,0,0,1
서울,금천구,금천누리종합사회복지관,"우편번호:  (153-801)
주소:  서울 금천구 가산동
도로명주소:  서울특별시 금천구 가산동 가산로 129",,,,,
서울,금천구,금천시니어클럽,"우편번호:  (086-28)
주소:  서울특별시 금천구 시흥동 883-11 금천리메인시티
도로명주소:  서울특별시 금천구 시흥대로 224(시흥동)",1,1,1,0,1
서울,금천구,금천호암노인종합복지관,"우편번호:  (085-56)
주소:  서울특별시 금천구 독산동 917 금천호암노인종합복지관
도로명주소:  서울특별시 금천구 독산로72길 86-5 (독산동)",1,1,0,0,1
서울,강서구,길꽃어린이도서관,"우편번호:  (157-857)
주소:  서울 강서구 방화3동 828번지
도로명주소:  서울시 강서구 금낭화로 24길 5",,,,,
서울,성북구,길음종합사회복지관,"우편번호:  (027-32)
주소:  서울특별시 성북구 길음동 1061 길음종합사회복지관
도로명주소:  서울특별시 성북구 삼양로2길 55 (길음동)",,,,,
서울,노원구,노원1종합사회복지관,"우편번호:  (139-054)
주소:  서울 노원구 월계4동 321 사슴아파트 1단지내
도로명주소: ",,,,,
서울,노원구,노원노인종합복지관,"우편번호:  (017-48)
주소:  서울특별시 노원구 하계동 256 중계주공9단지아파트
도로명주소:  서울특별시 노원구 노원로16길 15 (하계동, 중계주공9단지아파트)",1,0,0,1,1
서울,노원구,노원시니어클럽,"우편번호:  (016-10)
주소: 
도로명주소:  서울특별시 노원구 동일로239다길 19 (상계동)",,,,,
서울,강남구,능인종합사회복지관,"우편번호:  (135-960)
주소:  서울 강남구 개포동 1055
도로명주소:  서울시 강남구 양재대로 340",,,,,
서울,종로구,다가치포럼사회적협동조합,"우편번호:  (030-88)
주소: 
도로명주소:  서울특별시 종로구 동숭1길 35 (동숭동)",,,,,
서울,동작구,대방종합사회복지관,"우편번호:  (069-42)
주소:  서울특별시 동작구 대방동 503 주공아파트
도로명주소:  서울특별시 동작구 여의대방로44길 47 (대방동, 주공아파트)",0,1,0,0,1
서울,은평구,대조노인복지관,"우편번호:  (033-89)
주소: 
도로명주소:  서울특별시 은평구 역말로9길 27 (대조동)",0,0,0,0,1
서울,강남구,대청종합사회복지관,"우편번호:  (063-41)
주소:  서울특별시 강남구 일원동 711 수서1단지 에스에이치빌
도로명주소:  서울특별시 강남구 양재대로55길 10 (일원동, 수서1단지 에스에이치빌)",0,0,0,0,1
서울,노원구,대한노인회 노원구지회,"우편번호:  (017-79)
주소:  서울특별시 노원구 중계동 507-3 노원구민회관
도로명주소:  서울특별시 노원구 동일로 1229 (중계동)",,,,,
서울,강동구,대한노인회 서울 강동구지회,"우편번호:  (134-830)
주소:  서울 강동구 명일1동 351-2호 구립강동노인회관
도로명주소:  서욺 강동구 천중로 49길 104(명일동.강동노인회관)",,,,,
서울,관악구,대한노인회 서울 관악구지회,"우편번호:  (151-839)
주소:  서울 관악구청룡동
도로명주소:  서울특별시 관악구 관악로5길 95, 관악구민회관",,,,,
서울,광진구,대한노인회 서울 광진구지회,"우편번호:  (049-68)
주소:  서울특별시 광진구 광장동 259-3 광장동 노인복지회관
도로명주소:  서울특별시 광진구 광장로 62 (광장동)",,,,,
서울,구로구,대한노인회 서울 구로구지회,"우편번호:  (082-89)
주소:  서울특별시 구로구 구로동 50-9 구로누리 배드민턴장
도로명주소:  서울특별시 구로구 새말로18길 39 (구로동)",,,,,
서울,도봉구,대한노인회 서울 도봉구지회,"우편번호:  (014-08)
주소:  서울특별시 도봉구 창동 1-1
도로명주소:  서울특별시 도봉구 마들로 536(창동)",,,,,
서울,동대문구,대한노인회 서울 동대문구지회,"우편번호:  (025-39)
주소:  서울특별시 동대문구 전농동 295-495 대한노인회 동대문구지회
도로명주소:  서울특별시 동대문구 사가정로 98 (전농동)",,,,,
서울,동작구,대한노인회 서울 동작구지회,"우편번호:  (070-55)
주소:  서울특별시 동작구 대방동 407-8 동작노인회관
도로명주소:  서울특별시 동작구 여의대방로24가길 2 (대방동)",,,,,
서울,마포구,대한노인회 서울 마포구지회,"우편번호:  (041-61)
주소:  서울특별시 마포구 용강동 505 용강동주민센터
도로명주소:  서울특별시 마포구 토정로31길 31 (용강동)",1,0,0,0,1
서울,서대문구,대한노인회 서울 서대문구지회,"우편번호:  (036-28)
주소:  서울특별시 서대문구 홍제동 294-46 유진상가
도로명주소:  서울특별시 서대문구 통일로 484 (홍제동)",,,,,
서울,서초구,대한노인회 서울 서초구지회,"우편번호:  (137-881)
주소:  서울 서초구 서초1동 1666-17
도로명주소:  서울시 서초구 서초대로 54길 45 서초구립중앙노인복지관 2층",,,,,
서울,성동구,대한노인회 서울 성동구지회,"우편번호:  (047-07)
주소:  서울특별시 성동구 홍익동 373-1 건강가정지원센터
도로명주소:  서울특별시 성동구 무학로6길 9 (홍익동)",,,,,
